prey_desc,count,min_weight,max_weight,weight source,avian_size_class,class,notes
?,1282,na,na,na,na,na,
ROPI,473,340,369,Birds of the World,Large,aves,Min and max were taken from averages by sex
avian,445,na,na,na,na,aves,
medium avian,262,na,na,na,na,aves,
small avian,185,na,na,na,na,aves,
MODO,172,88,135,Pyle,Medium,aves,
large avian,147,na,na,na,na,aves,
remove,130,na,na,na,na,na,
HOSP,85,20,33,Pyle,Small,aves,
WWDO,74,125,180,Pyle,Large,aves,
mammalian,73,na,na,na,na,mammalia,
rat sp.,71,42,600,ADW,na,mammalia,mass range from all rats in the continental United States
EUST,61,68,86,Pyle,Medium,aves,
AMRO,56,67,95,Pyle,Medium,aves,
EUCD,54,125,175,Pyle,Large,aves,
eastern chipmunk,46,55,115,ADW,na,mammalia,
NOFL,44,116,158,Pyle,Medium,aves,
MODO/EUCD,31,88,175,Pyle,Large,aves,
eastern gray squirrel,25,338,750,ADW,na,mammalia,
eastern cottontail,24,800,1530,ADW,na,mammalia,
leporid sp.,24,400,4730,ADW,na,mammalia,range of masses from all leporids in the continental US
eastern fox squirrel,23,696,1233,ADW,na,mammalia,
BLJA,22,68,107,Pyle,Medium,aves,
COGR,21,84,114,Pyle,Medium,aves,
HOFI,19,17.2,26.8,Pyle,Small,aves,
NOCA,14,34,54,Pyle,Medium,aves,
sylvilagus sp.,12,400,2668,ADW,na,mammalia,range across all sylvilagus species in United States
GTGR,11,85,225,Pyle,Large,aves,
RWBL,11,28,79,Pyle,Medium,aves,
NOMO,10,36,48,Pyle,Small,aves,
AMCO,9,427,848,Birds of the World,Large,aves,
CAQU,9,241,270,Birds of the World,Large,aves,
western gray squirrel,8,350,950,ADW,na,mammalia,
RBWO,8,54,85,Pyle,Medium,aves,
domestic chicken,7,485,1450,Birds of the World,Large,aves,taken from Gallus gallus
american red squirrel,7,197.3,282.2,ADW,na,mammalia,
MODO/EUCD/WWDO,7,88,180,Pyle,Large,aves,
CASJ,7,67,97,Pyle,Medium,aves,
DEJU,7,15.5,25.5,Pyle,Small,aves,
california ground squirrel,7,280,738,ADW,na,mammalia,
WEME,6,76,113,Pyle,Medium,aves,
BHCO,6,27,54,Pyle,Medium,aves,
MODO/WWDO,5,88,180,Pyle,Large,aves,
MALL,4,735,1800,Birds of the World,Large,aves,
norway rat,4,140,500,ADW,na,mammalia,
BTPI,4,260,470,Pyle,Large,aves,
ACWO,4,60,93,Pyle,Medium,aves,
PISI,4,10.7,16.7,Pyle,Small,aves,
sauria sp.,4,0.24,8000,"Powell & Uy, 2022; ADW",na,reptilia,"range for all lizards in the US. Minimum is reef gecko, maximum is green iguana"
western/eastern gray squirrel,3,338,950,ADW,na,mammalia,
WODU,3,542,750,Birds of the World,Large,aves,
AMCR/FICR,3,225,570,Pyle,large,aves,
AMCR,3,330,570,Pyle,Large,aves,
GRRO,3,250,460,Pyle,Large,aves,
GAQU,3,160,200,Birds of the World,Large,aves,
