item,count,min weight (g),max weight (g),weight source,avian size class,notes
avian,131,na,na,na,na,
?,82,na,na,na,na,
small avian,65,na,na,na,na,
medium avian,62,na,na,na,na,
EUST,52,68,86,Pyle,Medium,
MODO,28,88,135,Pyle,Medium,
AMRO,20,67,95,Pyle,Medium,
HOSP,20,20,33,Pyle,Small,
BLJA,16,68,107,Pyle,Medium,
RWBL,15,28,79,Pyle,Medium,
NOCA,13,34,54,Pyle,Medium,
DOWO,9,19,35,Pyle,Small,
EUCD,9,125,175,Pyle,Medium,
HOFI,8,17.2,26.8,Pyle,Medium,
WWDO,8,125,180,Pyle,Large,
DEJU,7,15.5,25.5,Pyle,Medium,
ROPI,5,340,369,Birds of the World,Large,Min and max were taken from averages by sex
CEDW,4,24,43,Pyle,Small,
RBWO,4,54,85,Pyle,Medium,
SOSP,4,16.5,48,Pyle,Small,"Mass varies with subspecies, max and min represent range for entire species"
CAFI,3,21,33,Pyle,Medium,
MODO/EUCD,3,88,175,Pyle,Medium,
VATH,3,70,89,Pyle,Medium,
AMGO,2,9.5,17.3,Pyle,Small,
COGR,2,64,114,Pyle,Medium,
DUPLICATE,2,na,na,na,na,
Eared Dove,2,95,125,Birds of the World,Medium,
GRCA,2,31,55,Pyle,Medium,
large avian,2,na,na,na,na,
NOMO,2,36,48,Pyle,Small,
PISI,2,10.7,16.7,Pyle,Small,
STJA,2,104,139,Pyle,Medium,
TUTI,2,17.9,23.2,Pyle,Small,
WBNU,2,16,24,Pyle,Small,
ATSP,1,14,23,Pyle,Small,
BCCH,1,8.5,13.5,Pyle,Small,
BHCO,1,27,54,Pyle,Medium,
BHCO/RWBL,1,27,79,Pyle,Medium,
BRTH,1,60,80,Pyle,Medium,
CAJA,1,60,79,Pyle,Medium,
COGR/BTGR,1,64,145,Pyle,Medium,
COYE,1,8.2,13.5,Pyle,Small,
CSJA/STJA,1,67,139,Pyle,Medium,
DOWO/HAWO,1,19,78,Pyle,Medium,
EABL,1,24,35,Pyle,Small,
eastern chipmunk,1,55,115,ADW,na,
HOFI/PUFI/CAFI,2,17.8,33,Pyle,Small,
HAWO,1,53,78,Pyle,Medium,
LEGO,1,7.9,11.8,Pyle,Medium,
MODO/ECDO,1,88,175,Pyle,Medium,
MODO/EUCD/WWDO,1,88,180,Pyle,Large,
NUWO,1,30,45,Pyle,Small,
PUFI,1,18,30,Pyle,Small,
RBSA,1,41,55,Pyle,Medium,
RUGR,1,439,794,Birds of the World,Large,
RWBL/RUBL,1,28,79,Pyle,Medium,
SOSP/WTSP/SWSP,1,14.6,48,Pyle,Small,
TRES,1,15,24,Pyle,Small,
TRKI,1,32,44,Pyle,Small,
WCSP,1,20,34,Pyle,Small,
WCSP/GCSP,1,20,35,Pyle,Small,
WIWA,1,6,10,Pyle,Small,
YBSA,1,38,55,Pyle,Medium,
YEWA,1,7.9,12,Pyle,Small,
(blank),na,na,na,na,na,
SPTO,1,33,49,Pyle,Small,
SWSP,1,14.6,22.7,Pyle,Small,
Haemorphus sp.,1,17.8,33,Pyle,Small,
