observed_on,url,Prey Y/N,prey_desc,latitude,longitude,notes,observer
10/25/1977,https://www.inaturalist.org/observations/36217020,N,,38.93702,-74.9563,,Eling
10/1/1978,https://www.inaturalist.org/observations/149855782,n,,53.25731,-131.992,,WJG
4/25/1979,https://www.inaturalist.org/observations/36219608,N,,40.4638,-73.9927,,Eling
11/10/1979,https://www.inaturalist.org/observations/36219609,N,,38.93702,-74.9562,,Eling
9/11/1983,https://www.inaturalist.org/observations/170818811,n,,42.66601,-81.169,,WJG
9/19/1991,https://www.inaturalist.org/observations/101833968,N,,44.24951,-66.3872,,Naumann
9/12/1992,https://www.inaturalist.org/observations/37533481,N,,48.30201,-88.938,,Eling
11/7/1993,https://www.inaturalist.org/observations/48733084,N,,35.13048,-106.683,,JW
2/21/1995,https://www.inaturalist.org/observations/83206091,N,,42.39006,-72.5269,,JW
10/8/1995,https://www.inaturalist.org/observations/49774192,N,,35.13048,-106.683,,JW
1/20/1996,https://www.inaturalist.org/observations/105645416,n,,26.62707,-98.4173,,WJG
2/10/1996,https://www.inaturalist.org/observations/178091096,y,avian,42.37397,-72.7033,,WJG
2/6/1997,https://www.inaturalist.org/observations/178762642,y,EUST,42.37391,-72.7033,,WJG
1/21/1999,https://www.inaturalist.org/observations/16144003,N,,30.22563,-97.4208,,Naumann
1/4/2000,https://www.inaturalist.org/observations/154048262,n,,-23.5659,-46.5281,,WJG
2/12/2002,https://www.inaturalist.org/observations/115465995,N,,50.99031,-114.156,,JW
7/15/2002,https://www.inaturalist.org/observations/145686557,N,,62.24294,-136.32,,JW
10/13/2002,https://www.inaturalist.org/observations/37533503,N,,48.30211,-88.9377,,Eling
1/10/2003,https://www.inaturalist.org/observations/62590556,N,,31.84818,-106.465,,JW
4/13/2003,https://www.inaturalist.org/observations/101704778,Y,?,49.75501,-106.761,,Naumann
6/1/2003,http://www.inaturalist.org/observations/3989260,N,,47.60457,-107.947,,Eling
9/18/2003,https://www.inaturalist.org/observations/30582179,N,,28.62709,-108.201,,JW
10/15/2003,https://www.inaturalist.org/observations/31269328,N,,33.53996,-101.895,DEAD,JW
11/21/2003,https://www.inaturalist.org/observations/162518144,n,,45.54284,-73.4425,,WJG
11/27/2003,https://www.inaturalist.org/observations/37021435,N,,38.87655,-77.1417,,Eling
