,row,prey_class,prey_desc,observed_on,url,prey_Y.N,latitude,longitude,notes,observer,min_weight,max_weight,avian_size_class
1283,1,ave,ACWO,4/14/2020,https://www.inaturalist.org/observations/42188246,y,34.18739,-118.127,,DJM,60,93,Medium
1284,2,ave,ACWO,10/6/2021,https://www.inaturalist.org/observations/97966801,y,34.10293,-117.764,cool pics,WJG,60,93,Medium
1285,3,ave,ACWO,8/22/2014,https://www.inaturalist.org/observations/13180232,y,34.25868,-118.289,,WJG,60,93,Medium
1286,4,ave,ACWO,11/22/2021,https://www.inaturalist.org/observations/101732690,y,35.5565,-120.794,,DJM,60,93,Medium
1287,5,ave,AMCO,12/17/2014,http://www.inaturalist.org/observations/1175050,y,31.8092,-111.026,,WJG,427,848,Large
1288,6,ave,AMCO,10/21/2021,https://www.inaturalist.org/observations/98912814,y,33.66664,-112.212,pic 3 is clear picture of foot,WJG,427,848,Large
1289,7,ave,AMCO,12/22/2011,http://www.inaturalist.org/observations/1204233,y,32.86831,-96.573,"Notes state AMCO, but pretty hard to confirm. ",WJG,427,848,Large
1290,8,ave,AMCO,11/27/2021,https://www.inaturalist.org/observations/102035644,y,33.01219,-97.1483,very cool pics,DJM,427,848,Large
1291,9,ave,AMCO,2/7/2015,http://www.inaturalist.org/observations/1358940,y,38.55472,-121.631,,WJG,427,848,Large
1292,10,ave,AMCO,11/20/2022,https://www.inaturalist.org/observations/142481552,y,33.70704,-118.005,"banded; ID by WJG- Large black bird with short tail that is white underneath. Feet don't look as heavily lobed as some, but last picture appears to have some lobing.",Madeline,427,848,Large
1293,11,ave,AMCO,12/30/2022,https://www.inaturalist.org/observations/145469295,y,28.6764,-80.7627,"Large black bird, head with large white bill in first pic",WJG,427,848,Large
1294,12,ave,AMCO,3/24/2021,https://www.inaturalist.org/observations/73415137,y,44.95933,-123.271,,WJG,427,848,Large
1295,13,ave,AMCO,1/5/2013,http://www.inaturalist.org/observations/175026,y,32.85178,-117.006,,WJG,427,848,Large
1296,14,ave,AMCR,3/18/2019,https://www.inaturalist.org/observations/21471339,y,29.55504,-98.6644,,DJM,330,570,Large
1297,15,ave,AMCR,11/25/2022,https://www.inaturalist.org/observations/142873255,y,45.52393,-122.69,ID by WJG,Madeline,330,570,Large
1298,16,ave,AMCR,9/25/2018,https://www.inaturalist.org/observations/17001302,y,34.41349,-119.842,,WJG,330,570,Large
1299,17,ave,AMCR/FICR,3/19/2022,https://www.inaturalist.org/observations/108983146,y,36.79419,-76.1228,,DJM,225,570,large
1300,18,ave,AMCR/FICR,4/11/2023,https://www.inaturalist.org/observations/154473912,y,41.72626,-70.0066,Absolutely brutal!,WJG,225,570,large
1301,19,ave,AMCR/FICR,1/11/2014,https://www.inaturalist.org/observations/111242486,y,38.14092,-75.7464,,DJM,225,570,large
1302,20,mammalia,american mink,2/7/2022,https://www.inaturalist.org/observations/106321341,y,37.45352,-122.168,"Seems very large for a squirrel, but I'm not sure what else it could be. Interesting.",WJG,700,1600,na
1303,21,mammalia,american red squirrel,11/5/2022,https://www.inaturalist.org/observations/141159187,y,40.92106,-74.3345,,WJG,197.3,282.2,na
1304,22,mammalia,american red squirrel,9/9/2014,http://www.inaturalist.org/observations/876417,y,41.14265,-81.6076,,WJG,197.3,282.2,na
1305,23,mammalia,american red squirrel,11/3/2019,https://www.inaturalist.org/observations/35285887,y,41.3181,-81.5859,,WJG,197.3,282.2,na
1306,24,mammalia,american red squirrel,6/16/2020,https://www.inaturalist.org/observations/64573806,y,35.88326,-106.676,notes say red squirrel ,Jenna Waldeck,197.3,282.2,na
1307,25,mammalia,american red squirrel,11/4/2022,https://www.inaturalist.org/observations/142471706,y,41.68358,-85.21,ID by WJG,Madeline,197.3,282.2,na
1308,26,mammalia,american red squirrel,4/5/2012,https://www.inaturalist.org/observations/11238133,y,44.86025,-93.6204,,WJG,197.3,282.2,na
1309,27,mammalia,american red squirrel,12/19/2013,http://www.inaturalist.org/observations/3817338,y,39.85583,-75.1246,,WJG,197.3,282.2,na
1310,28,ave,AMKE,12/13/2021,https://www.inaturalist.org/observations/103009169,y,34.10626,-117.588,!!!,DJM,80,165,Medium
1311,29,ave,AMKE,3/25/2017,https://www.inaturalist.org/observations/5641777,y,30.56516,-103.885,Notes say AMKE was roadkilled and scavenged by COHA,WJG,80,165,Medium
1312,30,ave,AMRO,4/23/2018,https://www.inaturalist.org/observations/11371691,y,32.88108,-97.2785,,WJG,67,95,Medium
1313,31,ave,AMRO,3/23/2019,https://www.inaturalist.org/observations/21543221,y,40.7645,-77.9141,,DJM,67,95,Medium
1314,32,ave,AMRO,1/15/2021,https://www.inaturalist.org/observations/68132936,y,38.93619,-77.3506,,DJM,67,95,Medium
1315,33,ave,AMRO,10/3/2018,https://www.inaturalist.org/observations/17177255,y,41.98028,-87.7453,,WJG,67,95,Medium
1316,34,ave,AMRO,6/7/2020,https://www.inaturalist.org/observations/48848305,y,39.93625,-85.9681,Ask. Definitely possible to ID.,WJG,67,95,Medium
1317,35,ave,AMRO,2/4/2022,https://www.inaturalist.org/observations/106238976,y,37.97257,-84.5126,,WJG,67,95,Medium
1318,36,ave,AMRO,7/2/2020,https://www.inaturalist.org/observations/52078516,y,35.19869,-89.7605,,DJM,67,95,Medium
1319,37,ave,AMRO,7/15/2022,https://www.inaturalist.org/observations/126502214,y,47.69965,-122.187,great pics,DJM,67,95,Medium
1320,38,ave,AMRO,1/9/2023,https://www.inaturalist.org/observations/146375955,y,32.73535,-117.131,sweet photo,DJM,67,95,Medium
1321,39,ave,AMRO,7/11/2022,https://www.inaturalist.org/observations/125856871,y,40.49697,-111.839,rufous feathers bottom left,DJM,67,95,Medium
1322,40,ave,AMRO,4/3/2023,https://www.inaturalist.org/observations/164623767,y,43.63883,-116.259,,WJG,67,95,Medium
1323,41,ave,AMRO,3/26/2023,https://www.inaturalist.org/observations/152374792,y,36.08991,-79.8394,last picture shows rufous feathers and white eyering around dark head,Madeline,67,95,Medium
1324,42,ave,AMRO,12/27/2019,https://www.inaturalist.org/observations/37803964,y,44.11132,-123.249,"Record is ""AMRO"" but I'm counting it",DJM,67,95,Medium
1325,43,ave,AMRO,1/29/2023,https://www.inaturalist.org/observations/147642372,y,45.47503,-122.692,"fairly certain. Yellow bill, dark head, gray body, rufous also visible",DJM,67,95,Medium
1326,44,ave,AMRO,7/27/2018,https://www.inaturalist.org/observations/14977435,y,42.58025,-88.5233,,WJG,67,95,Medium
1327,45,ave,AMRO,6/28/2022,https://www.inaturalist.org/observations/123920566,y,39.44574,-119.742,,DJM,67,95,Medium
1328,46,ave,AMRO,3/15/2021,https://www.inaturalist.org/observations/71497335,y,44.0123,-121.35,,WJG,67,95,Medium
1329,47,ave,AMRO,3/24/2020,https://www.inaturalist.org/observations/40647089,y,41.87573,-87.7742,,DJM,67,95,Medium
1330,48,ave,AMRO,4/2/2023,https://www.inaturalist.org/observations/153613171,y,40.45093,-86.9344,cool pics!,WJG,67,95,Medium
1331,49,ave,AMRO,7/31/2023,https://www.inaturalist.org/observations/175969990,y,47.59391,-120.67,juvenile,DJM,67,95,Medium
1332,50,ave,AMRO,4/15/2022,https://www.inaturalist.org/observations/112903411,y,42.06083,-87.8798,,DJM,67,95,Medium
1333,51,ave,AMRO,4/30/2022,https://www.inaturalist.org/observations/113987075,y,40.454,-86.9357,,WJG,67,95,Medium
1334,52,ave,AMRO,3/20/2021,https://www.inaturalist.org/observations/71617927,y,42.08163,-70.9888,,WJG,67,95,Medium
1335,53,ave,AMRO,1/28/2020,https://www.inaturalist.org/observations/38071228,y,38.95685,-77.1534,,DJM,67,95,Medium
1336,54,ave,AMRO,10/9/2021,https://www.inaturalist.org/observations/97739096,y,37.76871,-122.492,"Color looks like maybe AMRO, but could be lighting",WJG,67,95,Medium
1337,55,ave,AMRO,3/14/2021,https://www.inaturalist.org/observations/71228262,y,39.95494,-75.3897,Brutal,WJG,67,95,Medium
1338,56,ave,AMRO,4/10/2017,https://www.inaturalist.org/observations/5638580,y,40.04689,-105.288,,WJG,67,95,Medium
1339,57,ave,AMRO,5/7/2020,https://www.inaturalist.org/observations/45398356,y,42.03003,-87.6952,Really not sure. Ask. Black head with possible white supercillium and yellow/black bill?,WJG,67,95,Medium
1340,58,ave,AMRO,7/28/2020,https://www.inaturalist.org/observations/54691643,y,44.96127,-93.1519,"white spots on tail, pink legs, wing is right",DJM,67,95,Medium
1341,59,ave,AMRO,10/8/2020,https://www.inaturalist.org/observations/62028508,y,38.99185,-76.8956,,WJG,67,95,Medium
1342,60,ave,AMRO,6/14/2019,https://www.inaturalist.org/observations/27165099,y,47.01299,-122.885,"Notes. Can only see primaries, but size and color of primaries makes AMRO believable",WJG,67,95,Medium
1343,61,ave,AMRO,12/13/2019,https://www.inaturalist.org/observations/36715862,y,40.65351,-111.824,"Probable, but not 100%",WJG,67,95,Medium
1344,62,ave,AMRO,1/27/2021,https://www.inaturalist.org/observations/68711231,y,29.56074,-95.121,see notes on obs,DJM,67,95,Medium
1345,63,ave,AMRO,3/10/2022,https://www.inaturalist.org/observations/108332819,y,38.24546,-85.7173,,DJM,67,95,Medium
1346,64,ave,AMRO,10/9/2020,https://www.inaturalist.org/observations/62141388,y,43.62424,-72.5185,,WJG,67,95,Medium
1347,65,ave,AMRO,10/3/2022,https://www.inaturalist.org/observations/137905724,y,38.60573,-90.2558,"dark head, white eye arcs, rufous breast, gray wings",DJM,67,95,Medium
